Rx_Number,Path_Power_dBm,Interaction_Description,Total_Interactions_for_Path,RSS_dBm,Interaction_Coordinates
1,0.0000,Tx-Rx,0,-120.0000,"-7.30900 0.90000 -2.93800, 9.85000 0.10000 7.85000"
2,0.0000,Tx-Rx,0,-102.0284,"-7.30900 0.90000 -2.93800, 9.55000 0.10000 7.85000"
3,0.0000,Tx-Rx,0,-120.0000,"-7.30900 0.90000 -2.93800, 9.25000 0.10000 7.85000"
4,0.0000,Tx-Rx,0,-120.0000,"-7.30900 0.90000 -2.93800, 8.95000 0.10000 7.85000"
5,0.0000,Tx-Rx,0,-120.0000,"-7.30900 0.90000 -2.93800, 8.65000 0.10000 7.85000"
6,0.0000,Tx-Rx,0,-120.0000,"-7.30900 0.90000 -2.93800, 8.35000 0.10000 7.85000"
7,0.0000,Tx-Rx,0,-108.3031,"-7.30900 0.90000 -2.93800, 8.05000 0.10000 7.85000"
8,0.0000,Tx-Rx,0,-96.7635,"-7.30900 0.90000 -2.93800, 7.75000 0.10000 7.85000"
9,0.0000,Tx-Rx,0,-110.2262,"-7.30900 0.90000 -2.93800, 7.45000 0.10000 7.85000"
10,0.0000,Tx-Rx,0,-96.8872,"-7.30900 0.90000 -2.93800, 7.15000 0.10000 7.85000"
11,0.0000,Tx-Rx,0,-91.4183,"-7.30900 0.90000 -2.93800, 6.85000 0.10000 7.85000"
12,0.0000,Tx-Rx,0,-86.6716,"-7.30900 0.90000 -2.93800, 6.55000 0.10000 7.85000"
13,0.0000,Tx-Rx,0,-83.4664,"-7.30900 0.90000 -2.93800, 6.25000 0.10000 7.85000"
14,0.0000,Tx-Rx,0,-75.4108,"-7.30900 0.90000 -2.93800, 5.95000 0.10000 7.85000"
15,0.0000,Tx-Rx,0,-72.8771,"-7.30900 0.90000 -2.93800, 5.65000 0.10000 7.85000"
16,0.0000,Tx-Rx,0,-73.7305,"-7.30900 0.90000 -2.93800, 5.35000 0.10000 7.85000"
17,0.0000,Tx-Rx,0,-75.4688,"-7.30900 0.90000 -2.93800, 5.05000 0.10000 7.85000"
18,0.0000,Tx-Rx,0,-74.7094,"-7.30900 0.90000 -2.93800, 4.75000 0.10000 7.85000"
19,0.0000,Tx-Rx,0,-75.0673,"-7.30900 0.90000 -2.93800, 4.45000 0.10000 7.85000"
20,0.0000,Tx-Rx,0,-78.0946,"-7.30900 0.90000 -2.93800, 4.15000 0.10000 7.85000"
21,0.0000,Tx-Rx,0,-80.7160,"-7.30900 0.90000 -2.93800, 3.85000 0.10000 7.85000"
22,0.0000,Tx-Rx,0,-82.2955,"-7.30900 0.90000 -2.93800, 3.55000 0.10000 7.85000"
23,0.0000,Tx-Rx,0,-83.0242,"-7.30900 0.90000 -2.93800, 3.25000 0.10000 7.85000"
24,0.0000,Tx-Rx,0,-79.6743,"-7.30900 0.90000 -2.93800, 2.95000 0.10000 7.85000"
25,0.0000,Tx-Rx,0,-77.7925,"-7.30900 0.90000 -2.93800, 2.65000 0.10000 7.85000"
26,0.0000,Tx-Rx,0,-80.0614,"-7.30900 0.90000 -2.93800, 2.35000 0.10000 7.85000"
27,0.0000,Tx-Rx,0,-83.0357,"-7.30900 0.90000 -2.93800, 2.05000 0.10000 7.85000"
28,0.0000,Tx-Rx,0,-76.7480,"-7.30900 0.90000 -2.93800, 1.75000 0.10000 7.85000"
29,0.0000,Tx-Rx,0,-75.7677,"-7.30900 0.90000 -2.93800, 1.45000 0.10000 7.85000"
30,0.0000,Tx-Rx,0,-77.0424,"-7.30900 0.90000 -2.93800, 1.15000 0.10000 7.85000"
31,0.0000,Tx-Rx,0,-78.4147,"-7.30900 0.90000 -2.93800, 0.85000 0.10000 7.85000"
32,0.0000,Tx-Rx,0,-79.2902,"-7.30900 0.90000 -2.93800, 0.55000 0.10000 7.85000"
33,0.0000,Tx-Rx,0,-78.9949,"-7.30900 0.90000 -2.93800, 0.25000 0.10000 7.85000"
34,0.0000,Tx-Rx,0,-69.1002,"-7.30900 0.90000 -2.93800, -0.05000 0.10000 7.85000"
35,0.0000,Tx-Rx,0,-67.6215,"-7.30900 0.90000 -2.93800, -0.35000 0.10000 7.85000"
36,0.0000,Tx-Rx,0,-70.8434,"-7.30900 0.90000 -2.93800, -0.65000 0.10000 7.85000"
37,0.0000,Tx-Rx,0,-76.5571,"-7.30900 0.90000 -2.93800, -0.95000 0.10000 7.85000"
38,0.0000,Tx-Rx,0,-84.7845,"-7.30900 0.90000 -2.93800, -1.25000 0.10000 7.85000"
39,0.0000,Tx-Rx,0,-85.5356,"-7.30900 0.90000 -2.93800, -1.55000 0.10000 7.85000"
40,0.0000,Tx-Rx,0,-78.5965,"-7.30900 0.90000 -2.93800, -1.85000 0.10000 7.85000"
41,0.0000,Tx-Rx,0,-70.5784,"-7.30900 0.90000 -2.93800, -2.15000 0.10000 7.85000"
42,0.0000,Tx-Rx,0,-71.6194,"-7.30900 0.90000 -2.93800, -2.45000 0.10000 7.85000"
43,0.0000,Tx-Rx,0,-81.2718,"-7.30900 0.90000 -2.93800, -2.75000 0.10000 7.85000"
44,0.0000,Tx-Rx,0,-99.0267,"-7.30900 0.90000 -2.93800, -3.05000 0.10000 7.85000"
45,0.0000,Tx-Rx,0,-97.3630,"-7.30900 0.90000 -2.93800, -3.35000 0.10000 7.85000"
46,0.0000,Tx-Rx,0,-78.0171,"-7.30900 0.90000 -2.93800, -3.65000 0.10000 7.85000"
47,0.0000,Tx-Rx,0,-76.7321,"-7.30900 0.90000 -2.93800, -3.95000 0.10000 7.85000"
48,0.0000,Tx-Rx,0,-74.6711,"-7.30900 0.90000 -2.93800, -4.25000 0.10000 7.85000"
49,0.0000,Tx-Rx,0,-72.4505,"-7.30900 0.90000 -2.93800, -4.55000 0.10000 7.85000"
50,0.0000,Tx-Rx,0,-67.9051,"-7.30900 0.90000 -2.93800, -4.85000 0.10000 7.85000"
51,0.0000,Tx-Rx,0,-65.7050,"-7.30900 0.90000 -2.93800, -5.15000 0.10000 7.85000"
52,0.0000,Tx-Rx,0,-62.9156,"-7.30900 0.90000 -2.93800, -5.45000 0.10000 7.85000"
53,0.0000,Tx-Rx,0,-52.9272,"-7.30900 0.90000 -2.93800, -5.75000 0.10000 7.85000"
54,0.0000,Tx-Rx,0,-54.0762,"-7.30900 0.90000 -2.93800, -6.05000 0.10000 7.85000"
55,0.0000,Tx-Rx,0,-54.0075,"-7.30900 0.90000 -2.93800, -6.35000 0.10000 7.85000"
56,0.0000,Tx-Rx,0,-52.6716,"-7.30900 0.90000 -2.93800, -6.65000 0.10000 7.85000"
57,0.0000,Tx-Rx,0,-52.0616,"-7.30900 0.90000 -2.93800, -6.95000 0.10000 7.85000"
58,0.0000,Tx-Rx,0,-52.0750,"-7.30900 0.90000 -2.93800, -7.25000 0.10000 7.85000"
59,0.0000,Tx-Rx,0,-52.9094,"-7.30900 0.90000 -2.93800, -7.55000 0.10000 7.85000"
60,0.0000,Tx-Rx,0,-52.9395,"-7.30900 0.90000 -2.93800, -7.85000 0.10000 7.85000"
61,0.0000,Tx-Rx,0,-97.2107,"-7.30900 0.90000 -2.93800, 9.85000 0.10000 7.55000"
62,0.0000,Tx-Rx,0,-120.0000,"-7.30900 0.90000 -2.93800, 9.55000 0.10000 7.55000"
63,0.0000,Tx-Rx,0,-120.0000,"-7.30900 0.90000 -2.93800, 9.25000 0.10000 7.55000"
64,0.0000,Tx-Rx,0,-99.1582,"-7.30900 0.90000 -2.93800, 8.95000 0.10000 7.55000"
65,0.0000,Tx-Rx,0,-120.0000,"-7.30900 0.90000 -2.93800, 8.65000 0.10000 7.55000"
66,0.0000,Tx-Rx,0,-116.4870,"-7.30900 0.90000 -2.93800, 8.35000 0.10000 7.55000"
67,0.0000,Tx-Rx,0,-92.0677,"-7.30900 0.90000 -2.93800, 8.05000 0.10000 7.55000"
68,0.0000,Tx-Rx,0,-120.0000,"-7.30900 0.90000 -2.93800, 7.75000 0.10000 7.55000"
69,0.0000,Tx-Rx,0,-103.0776,"-7.30900 0.90000 -2.93800, 7.45000 0.10000 7.55000"
70,0.0000,Tx-Rx,0,-94.7219,"-7.30900 0.90000 -2.93800, 7.15000 0.10000 7.55000"
71,0.0000,Tx-Rx,0,-87.2911,"-7.30900 0.90000 -2.93800, 6.85000 0.10000 7.55000"
72,0.0000,Tx-Rx,0,-85.7299,"-7.30900 0.90000 -2.93800, 6.55000 0.10000 7.55000"
73,0.0000,Tx-Rx,0,-79.6117,"-7.30900 0.90000 -2.93800, 6.25000 0.10000 7.55000"
74,0.0000,Tx-Rx,0,-75.9965,"-7.30900 0.90000 -2.93800, 5.95000 0.10000 7.55000"
75,0.0000,Tx-Rx,0,-73.8722,"-7.30900 0.90000 -2.93800, 5.65000 0.10000 7.55000"
76,0.0000,Tx-Rx,0,-73.7093,"-7.30900 0.90000 -2.93800, 5.35000 0.10000 7.55000"
77,0.0000,Tx-Rx,0,-74.3523,"-7.30900 0.90000 -2.93800, 5.05000 0.10000 7.55000"
78,0.0000,Tx-Rx,0,-75.0962,"-7.30900 0.90000 -2.93800, 4.75000 0.10000 7.55000"
79,0.0000,Tx-Rx,0,-75.2560,"-7.30900 0.90000 -2.93800, 4.45000 0.10000 7.55000"
80,0.0000,Tx-Rx,0,-76.1985,"-7.30900 0.90000 -2.93800, 4.15000 0.10000 7.55000"
81,0.0000,Tx-Rx,0,-79.6393,"-7.30900 0.90000 -2.93800, 3.85000 0.10000 7.55000"
82,0.0000,Tx-Rx,0,-81.0560,"-7.30900 0.90000 -2.93800, 3.55000 0.10000 7.55000"
83,0.0000,Tx-Rx,0,-79.5417,"-7.30900 0.90000 -2.93800, 3.25000 0.10000 7.55000"
84,0.0000,Tx-Rx,0,-78.3290,"-7.30900 0.90000 -2.93800, 2.95000 0.10000 7.55000"
85,0.0000,Tx-Rx,0,-80.1692,"-7.30900 0.90000 -2.93800, 2.65000 0.10000 7.55000"
86,0.0000,Tx-Rx,0,-76.6562,"-7.30900 0.90000 -2.93800, 2.35000 0.10000 7.55000"
87,0.0000,Tx-Rx,0,-74.3139,"-7.30900 0.90000 -2.93800, 2.05000 0.10000 7.55000"
88,0.0000,Tx-Rx,0,-77.9536,"-7.30900 0.90000 -2.93800, 1.75000 0.10000 7.55000"
89,0.0000,Tx-Rx,0,-79.4887,"-7.30900 0.90000 -2.93800, 1.45000 0.10000 7.55000"
90,0.0000,Tx-Rx,0,-80.5076,"-7.30900 0.90000 -2.93800, 1.15000 0.10000 7.55000"
91,0.0000,Tx-Rx,0,-78.6811,"-7.30900 0.90000 -2.93800, 0.85000 0.10000 7.55000"
92,0.0000,Tx-Rx,0,-77.7008,"-7.30900 0.90000 -2.93800, 0.55000 0.10000 7.55000"
93,0.0000,Tx-Rx,0,-78.0903,"-7.30900 0.90000 -2.93800, 0.25000 0.10000 7.55000"
94,0.0000,Tx-Rx,0,-68.9783,"-7.30900 0.90000 -2.93800, -0.05000 0.10000 7.55000"
95,0.0000,Tx-Rx,0,-67.8259,"-7.30900 0.90000 -2.93800, -0.35000 0.10000 7.55000"
96,0.0000,Tx-Rx,0,-68.3527,"-7.30900 0.90000 -2.93800, -0.65000 0.10000 7.55000"
97,0.0000,Tx-Rx,0,-76.7523,"-7.30900 0.90000 -2.93800, -0.95000 0.10000 7.55000"
98,0.0000,Tx-Rx,0,-120.0000,"-7.30900 0.90000 -2.93800, -1.25000 0.10000 7.55000"
99,0.0000,Tx-Rx,0,-120.0000,"-7.30900 0.90000 -2.93800, -1.55000 0.10000 7.55000"
100,0.0000,Tx-Rx,0,-120.0000,"-7.30900 0.90000 -2.93800, -1.85000 0.10000 7.55000"
101,0.0000,Tx-Rx,0,-68.5591,"-7.30900 0.90000 -2.93800, -2.15000 0.10000 7.55000"
102,0.0000,Tx-Rx,0,-70.6831,"-7.30900 0.90000 -2.93800, -2.45000 0.10000 7.55000"
103,0.0000,Tx-Rx,0,-76.0165,"-7.30900 0.90000 -2.93800, -2.75000 0.10000 7.55000"
104,0.0000,Tx-Rx,0,-76.1872,"-7.30900 0.90000 -2.93800, -3.05000 0.10000 7.55000"
105,0.0000,Tx-Rx,0,-80.8297,"-7.30900 0.90000 -2.93800, -3.35000 0.10000 7.55000"
106,0.0000,Tx-Rx,0,-71.1769,"-7.30900 0.90000 -2.93800, -3.65000 0.10000 7.55000"
107,0.0000,Tx-Rx,0,-74.9173,"-7.30900 0.90000 -2.93800, -3.95000 0.10000 7.55000"
108,0.0000,Tx-Rx,0,-67.1305,"-7.30900 0.90000 -2.93800, -4.25000 0.10000 7.55000"
109,0.0000,Tx-Rx,0,-66.4982,"-7.30900 0.90000 -2.93800, -4.55000 0.10000 7.55000"
110,0.0000,Tx-Rx,0,-71.8276,"-7.30900 0.90000 -2.93800, -4.85000 0.10000 7.55000"
111,0.0000,Tx-Rx,0,-66.2042,"-7.30900 0.90000 -2.93800, -5.15000 0.10000 7.55000"
112,0.0000,Tx-Rx,0,-62.3517,"-7.30900 0.90000 -2.93800, -5.45000 0.10000 7.55000"
113,0.0000,Tx-Rx,0,-52.9951,"-7.30900 0.90000 -2.93800, -5.75000 0.10000 7.55000"
114,0.0000,Tx-Rx,0,-53.7852,"-7.30900 0.90000 -2.93800, -6.05000 0.10000 7.55000"
115,0.0000,Tx-Rx,0,-53.6198,"-7.30900 0.90000 -2.93800, -6.35000 0.10000 7.55000"
116,0.0000,Tx-Rx,0,-52.1464,"-7.30900 0.90000 -2.93800, -6.65000 0.10000 7.55000"
117,0.0000,Tx-Rx,0,-51.7942,"-7.30900 0.90000 -2.93800, -6.95000 0.10000 7.55000"
118,0.0000,Tx-Rx,0,-52.0521,"-7.30900 0.90000 -2.93800, -7.25000 0.10000 7.55000"
119,0.0000,Tx-Rx,0,-52.6865,"-7.30900 0.90000 -2.93800, -7.55000 0.10000 7.55000"
120,0.0000,Tx-Rx,0,-52.6467,"-7.30900 0.90000 -2.93800, -7.85000 0.10000 7.55000"
121,0.0000,Tx-Rx,0,-120.0000,"-7.30900 0.90000 -2.93800, 9.85000 0.10000 7.25000"
122,0.0000,Tx-Rx,0,-120.0000,"-7.30900 0.90000 -2.93800, 9.55000 0.10000 7.25000"
123,0.0000,Tx-Rx,0,-120.0000,"-7.30900 0.90000 -2.93800, 9.25000 0.10000 7.25000"
124,0.0000,Tx-Rx,0,-97.3470,"-7.30900 0.90000 -2.93800, 8.95000 0.10000 7.25000"
125,0.0000,Tx-Rx,0,-97.4314,"-7.30900 0.90000 -2.93800, 8.65000 0.10000 7.25000"
126,0.0000,Tx-Rx,0,-96.2094,"-7.30900 0.90000 -2.93800, 8.35000 0.10000 7.25000"
127,0.0000,Tx-Rx,0,-89.8215,"-7.30900 0.90000 -2.93800, 8.05000 0.10000 7.25000"
128,0.0000,Tx-Rx,0,-79.8068,"-7.30900 0.90000 -2.93800, 7.75000 0.10000 7.25000"
129,0.0000,Tx-Rx,0,-81.6337,"-7.30900 0.90000 -2.93800, 7.45000 0.10000 7.25000"
130,0.0000,Tx-Rx,0,-81.0831,"-7.30900 0.90000 -2.93800, 7.15000 0.10000 7.25000"
131,0.0000,Tx-Rx,0,-83.1005,"-7.30900 0.90000 -2.93800, 6.85000 0.10000 7.25000"
132,0.0000,Tx-Rx,0,-78.4073,"-7.30900 0.90000 -2.93800, 6.55000 0.10000 7.25000"
133,0.0000,Tx-Rx,0,-80.6079,"-7.30900 0.90000 -2.93800, 6.25000 0.10000 7.25000"
134,0.0000,Tx-Rx,0,-75.3176,"-7.30900 0.90000 -2.93800, 5.95000 0.10000 7.25000"
135,0.0000,Tx-Rx,0,-73.9571,"-7.30900 0.90000 -2.93800, 5.65000 0.10000 7.25000"
136,0.0000,Tx-Rx,0,-73.7493,"-7.30900 0.90000 -2.93800, 5.35000 0.10000 7.25000"
137,0.0000,Tx-Rx,0,-73.8309,"-7.30900 0.90000 -2.93800, 5.05000 0.10000 7.25000"
138,0.0000,Tx-Rx,0,-75.1564,"-7.30900 0.90000 -2.93800, 4.75000 0.10000 7.25000"
139,0.0000,Tx-Rx,0,-75.8832,"-7.30900 0.90000 -2.93800, 4.45000 0.10000 7.25000"
140,0.0000,Tx-Rx,0,-74.9785,"-7.30900 0.90000 -2.93800, 4.15000 0.10000 7.25000"
141,0.0000,Tx-Rx,0,-77.9616,"-7.30900 0.90000 -2.93800, 3.85000 0.10000 7.25000"
142,0.0000,Tx-Rx,0,-80.4056,"-7.30900 0.90000 -2.93800, 3.55000 0.10000 7.25000"
143,0.0000,Tx-Rx,0,-78.1632,"-7.30900 0.90000 -2.93800, 3.25000 0.10000 7.25000"
144,0.0000,Tx-Rx,0,-77.3248,"-7.30900 0.90000 -2.93800, 2.95000 0.10000 7.25000"
145,0.0000,Tx-Rx,0,-75.1766,"-7.30900 0.90000 -2.93800, 2.65000 0.10000 7.25000"
146,0.0000,Tx-Rx,0,-78.0013,"-7.30900 0.90000 -2.93800, 2.35000 0.10000 7.25000"
147,0.0000,Tx-Rx,0,-77.2255,"-7.30900 0.90000 -2.93800, 2.05000 0.10000 7.25000"
148,0.0000,Tx-Rx,0,-80.1300,"-7.30900 0.90000 -2.93800, 1.75000 0.10000 7.25000"
149,0.0000,Tx-Rx,0,-80.1425,"-7.30900 0.90000 -2.93800, 1.45000 0.10000 7.25000"
150,0.0000,Tx-Rx,0,-80.5834,"-7.30900 0.90000 -2.93800, 1.15000 0.10000 7.25000"
151,0.0000,Tx-Rx,0,-81.4003,"-7.30900 0.90000 -2.93800, 0.85000 0.10000 7.25000"
